Date,Europe,Asia,North America,Oceania,Latin America
2021-06-27,-16.627863496149644,-53.81931542432283,10.21142076669117,-40.942933858618545,-6.140473766628374
2021-07-04,-1.157638246004688,-48.32828289469976,18.368011279403685,-35.46661514589836,8.20181922090859
2021-07-11,-9.385697945117807,-44.68092442872268,6.6645623704066725,-40.4600759222608,10.342714979606344
2021-07-18,-12.233524037072716,-48.99903781778537,5.167991262220273,-48.363187152563306,1.8225847565638542
2021-07-25,-18.469851988231454,-55.745266309619204,0.605441478439425,-51.01505468206636,-6.305954997518483
2021-08-01,-13.596494569150424,-56.05791519440577,1.1478350672407729,-57.78905126069509,-10.836497332628442
2021-08-08,-12.478134941090362,-53.28099943096581,-1.0399399168877943,-55.91331203746378,-3.727091353224796
2021-08-15,-16.47163309610746,-54.067647452698445,-2.535277369293827,-56.062765156235606,-7.339043527166448
2021-08-22,-8.849869435692481,-48.85881826147877,7.5356485740570385,-55.83219547867022,5.912892032386296
2021-08-29,-12.89561764247004,-50.06001065923598,4.545643584944895,-56.0956016376822,6.547454938810196
2021-09-05,-15.135282357025703,-43.97951084158004,2.0578342676361214,-41.328776912083356,0.8592712437139117
2021-09-12,-14.285265579397416,-43.80349948944366,8.890477879346047,-38.50667099986652,12.421679465422871
2021-09-19,-17.804984229711646,-49.15557536776412,7.003300285393532,-38.524942537300596,7.12637027440079
2021-09-26,-16.24908275886167,-42.46219642584389,7.015689335260859,-30.517628176967097,5.788316811505597
2021-10-03,-12.485401997617993,-37.54035030902816,13.262507126234823,-28.21252297342596,8.521421699020884
2021-10-10,3.599108651392636,-19.813635384255388,25.034907051419946,-19.718342563245216,17.521354120937698
2021-10-17,-1.0484258356660372,-28.665563080930127,19.38412433943421,-8.943936771447891,20.15328469412708
2021-10-24,-4.562305397391202,-28.37536487172362,21.683243696484745,-12.176350662589194,16.500093187960115
2021-10-31,-1.9043673700326713,-28.61927922495051,22.485426283514627,-17.28719093278139,10.882818469599389
2021-11-07,-4.914843893330682,-28.601835574681335,27.407935493387086,-14.566215127965066,22.854234012447225
2021-11-14,-9.50802979451964,-27.385077725374124,24.31095909550115,-11.396660234424541,17.75940522371806
2021-11-21,-22.996495135772545,-34.272723685057755,13.371395590964646,-21.82430721894413,4.264082180686686
2021-11-28,-15.695242376143051,-29.27039155572478,27.875396343324137,-19.927538910865465,13.15811257096698
2021-12-05,-11.344619202792547,-28.745936651460536,27.75992751861755,-13.702146598106923,12.631834448789181
2021-12-12,-5.265419524563976,-28.68820807814632,21.447489696319654,-11.923555937298689,11.217639355953251
2021-12-19,-11.847717489176421,-26.42878438952173,17.795494016930704,-19.55878740234855,12.231170741331994
2021-12-26,-20.873998488355525,-29.68455654933797,13.943832742607507,-24.097760342474437,5.758953691734469
2022-01-02,-17.22736735069358,-24.096784271024724,29.078697774142586,-13.396071768802612,70.91908084139557
2022-01-09,0.41681074662325956,-1.9422877597914283,49.72096067589809,3.0582950358411383,72.70668330958549
2022-01-16,1.668424623813104,-1.4579504935380125,40.14243922164557,1.4079400438591916,63.882464099919375
2022-01-23,-8.425007982704013,-16.995035829904698,21.03548574417454,-15.547196246945042,41.53495856298076
2022-01-30,84.6717047376421,-2.857938704294517,40.156456643232595,0.08473858147614609,56.92628984707749
2022-02-06,31.65812055894486,-24.914926328990205,156.3977127486651,0.7040749782140734,53.54409869650686
2022-02-13,42.019693096064806,-42.114497238695044,89.1513635557758,-28.98400785579014,19.517363031928774
2022-02-20,51.898432882022675,-36.28631052296708,121.16713818161647,-16.909355972901125,42.746454661132596
2022-02-27,64.63139416829341,-16.58823804096118,28.889175743011492,-15.338662078688603,43.26275518269869
2022-03-06,48.79467711873698,-36.70753013251368,131.08060595559797,-16.867002040059347,41.828593969979124
2022-03-13,2.7831642170522644,-42.972822296697174,117.14750233456029,-14.253247135573064,39.81030260409857
2022-03-20,4.925026549159191,-40.512562445060226,119.27209709042097,-12.279848204729007,35.07464601332009
2022-03-27,23.326476792753787,-39.42425661059632,19.958993083877967,-17.20206531650569,24.198320432742594
2022-04-03,58.97263033450135,-30.185084319900163,135.25957787019684,-10.78899881774625,47.050489347419
2022-04-10,64.27439628062275,-26.46062070134125,25.260002182790515,-9.557812334708558,40.311121795934604
2022-04-17,44.92497033321022,-28.908250253492003,19.400721836501912,-8.01922178657872,27.004343754036945
2022-04-24,22.67942430432722,-22.59627912985182,106.63544005575261,-10.383346195811267,28.729869709476407
2022-05-01,27.678144525393648,-35.654741717305036,104.48017810146062,-11.68045955906462,28.74320057366755
2022-05-08,40.89989167130484,-29.922969857308303,100.43844975624458,-11.577801112277836,26.240714274496252
2022-05-15,81.61813695353376,-21.748485302618338,124.33705220094662,-8.98796470342523,34.544218328735035
2022-05-22,46.65864565439637,-29.509606321781007,93.11146141795699,-12.73214984259449,4.073671659262349
2022-05-29,61.60710786053356,-13.327965278254592,109.81677024163537,-2.6736153522522157,27.266457338875078
2022-06-05,55.83225053969163,-24.316668825971288,98.12143029371431,-23.91889263485477,8.404468549195308
2022-06-12,72.75065279055664,-18.098384881589986,132.48410630954058,-6.288293057698639,32.09634547694138
2022-06-19,61.73187963477975,-14.430809700537248,112.68803230323246,-8.35016326607652,14.169514006963658
2022-06-26,27.81312572515628,-26.47710957711638,114.3293518401719,-15.463669726922038,16.55070000280188
2022-07-03,50.361925968774536,-11.87138007540903,106.0085632237531,-14.129771960224357,30.04428324675698
2022-07-10,65.89609802086737,-16.315834310309157,118.22140588448451,-8.17494565393725,39.22656421886371
2022-07-17,68.00844068331095,-22.030863000618282,115.60337016826018,-11.841691237311641,33.43398890174317
2022-07-24,55.81624089537478,-22.066482520136635,111.38757700205339,-19.473606387697767,27.44429476560939
2022-07-31,61.64076842631053,-23.340981514743934,115.3077934287754,-22.452739708740317,22.52066612197818
2022-08-07,58.84578690004585,-21.529260920652984,112.96143767933128,-17.763509898341358,25.563364070033636
2022-08-14,52.20054024754926,-18.338658146964857,114.14098432464566,-13.60092327198054,16.6446925623035
2022-08-21,58.73487476860082,-12.147538419678074,130.18318767249312,-9.090078097773615,23.549197654785488
2022-08-28,65.73677594840198,-11.891133110356664,121.56868034597292,-10.724713156305574,26.2134977603202
2022-09-04,67.71408732296568,-11.488499582886426,112.65638008547482,-5.620418606795445,26.597279505202444
2022-09-11,71.78986078078847,-14.85797149375155,119.15338588442572,2.061945413288609,35.3242256724042
2022-09-18,59.20053382085002,-7.063830690526227,110.58571048561987,-6.375636961842475,22.656461280117735
2022-09-25,62.76799664551812,-7.413752533654779,107.6996552175914,-8.154239958763128,17.89772479147561
2022-10-02,70.33930422462169,-2.281067372135522,128.97550444396677,-4.846670442592442,27.99564208500764
2022-10-09,91.98679141441937,3.106849200814592,140.67144088225209,-7.407149408472943,40.46809738231716
2022-10-16,85.75694608520405,1.9529799107654635,118.52319319886982,-3.1998908141172384,41.780913083987755
2022-10-23,91.9926565208825,0.17155573724183387,122.12023940883405,-1.6774974515800203,33.84004286646165
2022-10-30,87.13129288285624,14.913890673273988,141.87656059060316,14.081495243201456,36.157078921515115
2022-11-06,63.27579673641128,0.04323151136040302,114.93720904355386,-5.555300942142376,35.465102902435376
2022-11-13,86.95000393335744,2.177534318602643,134.56865421404467,0.97165494998534,41.845077967259044
2022-11-20,64.57130924694553,-8.596792585684405,106.03568761033905,-9.642136147949081,18.086517763901025
2022-11-27,92.67810069624906,3.3684224426509846,150.48113391245715,0.2735775814263004,32.14800521780333
2022-12-04,91.03691447826394,9.572148964115499,146.73752753040316,4.485523774706541,35.5200412042779
2022-12-11,94.92625504198143,6.114425194417986,136.14631151398,7.0397251449430955,40.062646395219446
2022-12-18,88.38318552415724,5.164853805979356,136.61324498340025,6.882523460914852,46.596473605854605
2022-12-25,82.92577750140832,7.9222510701003435,109.9809620543964,-5.695725781791875,36.16181278990191
2023-01-01,92.6531441380629,25.38123855713455,151.30753429473413,13.060275191512657,123.39829450686379
2023-01-08,123.25729989040606,35.0809522786748,179.70955710676657,19.46787569349754,126.33034874870859
2023-01-15,111.45727272936593,24.260942297297774,168.76625986456574,9.06619825929608,111.042127851514
2023-01-22,30.963379861837097,17.358035083030686,53.706468090704895,8.37770652056974,100.15774922436947
2023-01-29,113.3182510228728,42.928658566465586,166.94404339830655,4.9681019768300505,92.14503458577667
2023-02-05,88.75326913131184,9.575557692779729,159.74297369393761,-1.6615015264576372,76.95826265404055
2023-02-12,84.94782333719827,8.433887071155938,137.38750958558242,-0.7323887680905287,66.6012573889869
