Date,Asia,India,Japan,Thailand,Vietnam
2021-02-21,-49.41534748133822,-7.987238329788425,-61.74522274282861,-74.82713058797621,-77.37719493220716
2021-02-28,-41.5324094997422,-2.079722703639515,-59.52235896186182,-67.17605427457345,-69.43071416396795
2021-03-07,-28.227604686596962,10.75268817204301,-50.15132865107523,-38.98753647447352,-49.023899932990844
2021-03-14,-46.222387031837684,-24.198092761161682,-62.013729977116704,-68.75226039783003,-66.75082277624995
2021-03-21,-49.027427221674046,-29.538510167527132,-63.77903840180483,-77.4500971978569,-68.37289237772308
2021-03-28,-52.91167737146177,-52.0924939216802,-70.99623515783377,-76.60541901786131,-68.94378623645072
2021-04-04,-53.11681891097515,-65.0281746830348,-68.9108075155532,-82.07563375788362,-64.62847654628476
2021-04-11,-52.35452010528236,-76.77297737925413,-68.77475467610779,-89.60052735662491,-59.34274371415968
2021-04-18,-50.32330870239258,-83.62561767270613,-64.48886837339772,-87.78724127053457,-65.09575425217429
2021-04-25,-48.82331724346757,-87.87193472573279,-61.05602609485331,-89.98710478555736,-69.46592247426904
2021-05-02,-49.163433324048945,-84.57816610296881,-74.10798438131143,-79.08141053548107,-84.60176991150442
2021-05-09,-55.857876559572816,-88.39420180722891,-74.60004619293248,-85.66198298040769,-89.5071317610507
2021-05-16,-56.97693083101657,-88.23741493532832,-75.11636178076049,-91.48171264511296,-92.05667866703591
2021-05-23,-56.510807420562834,-82.19800925736288,-74.25597798038879,-81.74058541957893,-90.88496642676209
2021-05-30,-48.9077437659647,-70.95782073813707,-69.7501102918006,-82.1165675103358,-92.77760245254947
2021-06-06,-54.96343553406119,-58.475957620211894,-72.95776933374802,-91.6079449046811,-92.91110235938564
2021-06-13,-48.05277993961688,-34.49311639549437,-64.00874268821939,-87.4127568825126,-91.59987869860937
2021-06-20,-49.40828517958516,-26.261254464061164,-65.97155993338363,-84.0672114167338,-91.71430778739185
2021-06-27,-53.819216153386016,-27.950536461174757,-64.99919725998073,-86.6272725400976,-91.54674984050472
2021-07-04,-48.31773384213215,-10.619597237649105,-57.58096959449611,-84.41331734914927,-91.660928773621
2021-07-11,-44.67818494810285,-6.941858609500505,-52.5744393325134,-83.81830272179037,-91.57670987371317
2021-07-18,-49.00423686197924,-21.226040102464445,-57.05670503495516,-80.52889696867204,-87.4278987639788
2021-07-25,-55.96916489125338,-37.85412652207781,-60.43669243275621,-92.35971699768064,-95.60391730141458
2021-08-01,-56.068601583113455,-38.766800941251546,-59.94187979816965,-90.55547477097572,-95.76398864791003
2021-08-08,-53.295940190671786,-28.365630373158602,-64.67351373321452,-90.38141273000528,-95.01074428599335
2021-08-15,-54.07610410622522,-30.08894419097654,-70.17952078700499,-86.51392922448102,-96.44521423563859
2021-08-22,-48.88053628030497,-13.942119671490028,-70.32501889644746,-87.63229513153917,-96.0089965066756
2021-08-29,-50.09103074489997,-14.259241661123253,-69.06933092919112,-86.71848433325236,-98.27716108292732
2021-09-05,-44.01550042594703,-11.899573661771672,-63.58328946738766,-81.83899371069182,-98.19177516015706
2021-09-12,-43.86466481133213,-3.4171322160148976,-61.7079982502776,-81.494960806271,-98.48070346849047
2021-09-19,-49.22774966315499,8.31043057191467,-71.13216126098818,-86.88881753967526,-97.29048519218651
2021-09-26,-42.53446970400309,8.987909360237008,-62.88481765804801,-85.29862174578867,-96.36363636363636
2021-10-03,-37.618815398391554,23.063238595450887,-55.939693682195276,-78.80226882996966,-95.15651046490092
2021-10-10,-19.87642655995257,36.46549289144148,-51.17384843982169,-56.928597945798785,-87.9378034920963
2021-10-17,-28.788653119406714,31.641527047609692,-54.486804499339804,-72.22625968992247,-92.21538923053846
2021-10-24,-28.48737508809546,32.62667268079988,-55.10951345928774,-77.74719075770568,-91.55108469237413
2021-10-31,-28.799755386413022,0.37559901567154513,-51.23406701152923,-75.01579412879586,-88.76064597198305
2021-11-07,-28.77490678902238,8.78639215055493,-48.54626593191115,-75.43307433250423,-91.94497239569192
2021-11-14,-27.587636526754828,14.842225113858165,-45.124626121635096,-71.58804297057449,-91.66215240158903
2021-11-21,-34.45570576804903,18.03174603174603,-51.732694446821256,-74.77777326784917,-91.93845895866521
2021-11-28,-60.61602242850178,-42.30334617069852,-65.02905677246312,-85.06025280381294,-94.7215453061772
2021-12-05,0.007019290285940363,51.04692731090053,-23.41792970825637,-61.736100110882305,-76.75532585402748
2021-12-12,-28.919180033732495,23.786896468408973,-43.68162083936325,-70.06520450503852,-80.14571948998179
2021-12-19,-26.613976577233977,32.65378322204042,-44.033448525961006,-65.01251145851398,-74.81181494035305
2021-12-26,-30.062940251275393,-12.030381811693939,-55.10699472096531,-69.31422618593896,-73.673517599811
2022-01-02,-24.369438126008504,-38.98617669105313,-59.790932743691464,-68.97681026387582,-67.14553897002835
2022-01-09,-2.373117416554747,-25.907454712585338,-47.67035673062667,-43.699271302106105,-37.98138707724723
2022-01-16,-1.846869359388631,-9.25925755693422,-49.25243572709732,-35.5214592173971,-43.24319089095798
2022-01-23,-17.326463008443014,-12.35132515643092,-55.22703920406564,-50.17014597224934,-51.71672437858105
2022-01-30,-3.557433512420983,32.409549852755575,-44.088112646558336,-38.299610074823484,-44.76348242223449
2022-02-06,-25.465604382368817,37.211950333459846,-56.79276973526354,-70.84937248024053,-60.28814542641655
2022-02-13,-44.40657698056801,13.128286311980549,-66.23754023060337,-79.4841105058746,-77.55408512834953
2022-02-20,-36.7190433708631,42.63405350945931,-60.247051393152475,-79.23144681788152,-77.01266948210713
2022-02-27,-17.194253305240643,44.58799432802899,-54.500900315448874,-75.81535826177114,-81.03374808249532
2022-03-06,-41.11574633531235,46.53029110936271,-51.92817319527913,-71.38591689474994,-79.5979450524905
2022-03-13,-43.39079302855326,35.67403554399653,-51.41523198132477,-69.64195298372513,-73.55394256345521
2022-03-20,-40.92556887248922,33.38425877146771,-52.8584740636597,-73.07856431653312,-61.26155418273027
2022-03-27,-39.84967562857051,43.72769127308469,-58.898059658268174,-63.908967961572536,-60.650365515502905
2022-04-03,-30.59828988512317,65.50613805594688,-51.492793947541195,-65.1770595597438,-54.36280614362806
2022-04-10,-32.905949495739186,43.611167719584266,-48.49572400860048,-69.39222148978247,-59.153065725628586
2022-04-17,-29.351748384560683,18.409068888673577,-40.752050562795155,-68.14685399529252,-55.387515530611374
2022-04-24,-25.550157633186682,21.710788878541972,-40.66756861945623,-62.761486292864646,-51.840852066158014
2022-05-01,-35.97463418425843,31.88650883126644,-65.14219888395195,-64.19242490204616,-63.125291103865855
2022-05-08,-30.255818794312685,37.556475903614455,-58.18923704673185,-65.35473975855928,-57.74608106199689
2022-05-15,-22.140538087992002,45.11244310243814,-54.4665914116501,-61.85744601173386,-52.05390935105696
2022-05-22,-29.867563412900584,35.73505918977594,-56.948506221687026,-63.43245647477443,-55.048047927304886
2022-05-29,-20.21495669248754,41.76625659050966,-48.577235772357724,-62.42311182817384,-48.374735133672964
2022-06-05,-30.292799585567238,22.86878565607172,-54.21292477451285,-67.81515121269588,-52.42562027854355
2022-06-12,-18.451905281541002,42.38798498122654,-45.551607019309394,-61.05806514152773,-40.42802062123641
2022-06-19,-21.658637786138755,35.43584326744128,-48.14313979474186,-61.93808263321441,-43.7152348578492
2022-06-26,-26.75047043702248,20.685579196217493,-47.74430054586321,-62.65313265663283,-45.484511235556816
2022-07-03,-18.486899432108412,30.105761336746028,-39.55776462700055,-61.537005489305315,-41.48114145818988
2022-07-10,-16.58802847601417,39.91701686259908,-40.45916275679862,-58.42104056316067,-37.54428374942692
2022-07-17,-24.407762764986735,22.49359597208727,-45.773603559070686,-57.508561281866996,-44.10437512262115
2022-07-24,-27.843632486813934,17.96154319216104,-44.89574716905788,-60.56873331124408,-51.06274936525208
2022-07-31,-29.126393301383878,25.345989710046663,-43.33714054390099,-65.21557365130144,-50.76556532707334
2022-08-07,-27.75914482116671,34.750685440773275,-45.37510356578968,-62.32787684308867,-48.62668489939441
2022-08-14,-26.61234028637053,15.032950827227062,-51.28786651547059,-57.67882112509412,-44.3234772567941
2022-08-21,-18.91544590079671,28.85705905357841,-48.73318216175359,-54.97197087762555,-39.115662535292145
2022-08-28,-20.432626761361014,27.359118122208496,-42.57844252966997,-52.93174641729414,-46.30066803958009
2022-09-04,-18.451710643730713,37.26196115585031,-36.35769089661993,-50.10817610062893,-46.54887373424261
2022-09-11,-14.65967416990159,43.701117318435756,-32.86449745953767,-47.17754250229054,-48.43185148998535
2022-09-18,-13.75218816639613,49.749160232081316,-36.006365565322824,-44.101458581781486,-45.59158547816393
2022-09-25,-13.568571139733567,37.43694451116983,-23.061586524121257,-48.53391586343573,-50.83672546359114
2022-10-02,-8.753347430728677,40.09064339870388,-15.036694320357372,-41.14232950798048,-43.49879607334692
2022-10-09,-3.0800726248703127,62.30110159118727,5.743767541687304,-37.257765128078205,-37.901642731687154
2022-10-16,-3.92094401499717,67.84257848965754,2.3081680065517878,-33.76211240310077,-40.20298985050748
2022-10-23,-5.184719253822827,45.837718638801185,0.762414311987962,-35.775531386795436,-36.549306508154245
2022-10-30,8.825963985017419,78.64266286750421,22.70345200662677,-21.690603546308385,-22.864988132359102
2022-11-06,-4.678739077613711,54.0614444265723,-2.444301700530782,-27.674935616649428,-30.292334147886685
2022-11-13,-1.5797569988015323,61.19876382563435,9.442581346868485,-25.99252685660906,-28.8416395810762
2022-11-20,-10.78768829615851,65.94708994708995,-1.0336271070420127,-36.568981613021066,-36.11134400939046
2022-11-27,-42.43179286792309,-3.832760648479118,-29.171881984801075,-60.49356934907317,-63.061995573341676
2022-12-04,57.78630727900402,156.8802133575441,62.73120619417525,6.690955171867574,13.431236606580107
